Species,Treatment,LTE,Col,Day,Month,Year,Location,Date
LALA,-2.25,-26.59726807,250326SPRDO,26,3,25,SPR,3/26/25
LALA,-2.25,-26.26902582,250326SPRDO,26,3,25,SPR,3/26/25
LALA,-2.25,-26.09251938,250326SPRDO,26,3,25,SPR,3/26/25
LALA,-2.25,-25.99,250326SPRDO,26,3,25,SPR,3/26/25
LALA,-2.25,-25.58685812,250326SPRDO,26,3,25,SPR,3/26/25
LALA,-2.25,-25.56212773,250326SPRDO,26,3,25,SPR,3/26/25
LALA,-2.25,-25.55,250326SPRDO,26,3,25,SPR,3/26/25
LALA,-2.25,-25.50445301,250326SPRDO,26,3,25,SPR,3/26/25
LALA,-2.25,-25.0814936,250326SPRDO,26,3,25,SPR,3/26/25
LALA,-2.25,-25.05582085,250326SPRDO,26,3,25,SPR,3/26/25
LALA,-2.25,-24.92,250326SPRDO,26,3,25,SPR,3/26/25
LALA,-2.25,-24.75301461,250326SPRDO,26,3,25,SPR,3/26/25
LALA,-2.25,-24.727393,250326SPRDO,26,3,25,SPR,3/26/25
LALA,-2.25,-24.17,250326SPRDO,26,3,25,SPR,3/26/25
LALA,-2.25,-23.4,250326SPRDO,26,3,25,SPR,3/26/25
LALA,-2.25,-22.43,250326SPRDO,26,3,25,SPR,3/26/25
PIMA,-2.25,-23.26,260416SPREN,16,4,26,SPR,4/16/26
PIMA,-2.25,-23.79,260416SPREN,16,4,26,SPR,4/16/26
PIMA,-2.25,-24.3,260416SPREN,16,4,26,SPR,4/16/26
PIMA,-2.25,-24.45,260416SPREN,16,4,26,SPR,4/16/26
PIMA,-2.25,-25.48,260416SPREN,16,4,26,SPR,4/16/26
PIMA,-2.25,-25.78,260416SPREN,16,4,26,SPR,4/16/26
PIMA,-2.25,-25.95,260416SPREN,16,4,26,SPR,4/16/26
PIMA,-2.25,-26.08,260416SPREN,16,4,26,SPR,4/16/26
PIMA,-2.25,-26.15,260416SPREN,16,4,26,SPR,4/16/26
PIMA,-2.25,-23.29,260416SPREN,16,4,26,SPR,4/16/26
PIMA,-2.25,-23.74,260416SPREN,16,4,26,SPR,4/16/26
PIMA,-2.25,-24.13,260416SPREN,16,4,26,SPR,4/16/26
PIMA,-2.25,-24.5,260416SPREN,16,4,26,SPR,4/16/26
PIMA,-2.25,-25.1,260416SPREN,16,4,26,SPR,4/16/26
PIMA,-2.25,-25.65,260416SPREN,16,4,26,SPR,4/16/26
PIMA,-2.25,-25.93,260416SPREN,16,4,26,SPR,4/16/26